Lokaas;Gewicht_week_0;Gewicht_week_1;Gewicht_week_2;Gewicht_week_3;Gewicht_week_4;Gewicht_week_5_dag_1;Gewicht_week_5_dag_2;Gewicht_week_5_dag_3;Gewicht_week_5_dag_4;Gewicht_week_5_dag_5;Gewicht_week_5_dag_6;Gewicht_week_5_dag_7;Gewicht_week_6;Gewicht_week_7
1;40;0;0;0;0;0;40;40;40;40;40;40;40;40
2;40;0;0;0;0;0;26;40;40;40;40;40;40;18
3;40;40;39;39;39;40;40;40;40;40;40;40;40;40
4;40;0;0;0;0;0;0;39;40;40;40;40;40;40
5;40;0;0;0;0;0;0;40;40;40;40;40;40;40
6;40;0;0;0;0;0;0;40;40;40;40;40;40;0
7;40;40;28;26;25;37;35;40;40;40;40;37;38;40
8;40;0;0;0;0;0;0;40;40;35;40;40;0;27
9;40;0;0;0;0;0;15;40;40;40;40;40;40;0
10;40;0;0;0;0;0;36;40;40;40;40;40;40;40
11;40;0;0;0;0;0;30;40;40;40;40;40;40;34
12;40;0;0;0;0;30;0;40;40;40;40;40;38;40
13;40;10;0;0;0;31;36;38;40;40;40;40;0;40
14;40;0;0;0;0;0;0;6;40;0;40;40;0;0
15;40;0;0;0;0;40;40;40;40;37;39;40;19;0
16;40;NA;40;0;0;40;40;40;40;40;40;38;39;40
17;40;17;0;32;0;40;40;40;40;40;40;40;NA;NA
18;40;12;5;0;0;0;40;40;40;40;40;40;0;0
19;40;0;0;0;0;0;0;40;40;40;40;40;0;0
20;40;0;20;0;0;0;0;40;40;40;40;40;0;0
21;40;0;0;0;0;0;0;40;40;40;40;40;22;40
22;40;0;0;0;0;0;0;40;40;34;38;38;0;0
23;40;0;0;0;0;0;39;0;40;24;40;37;0;0
