"BekkenNaam";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2024"
"Beneden Schelde";NA;NA;0;NA;NA;NA;0;0
"Boven Schelde";NA;NA;NA;0;NA;NA;NA;NA
"BR";NA;NA;NA;NA;NA;NA;NA;0
"Brugse polders";NA;NA;NA;NA;NA;NA;0;NA
"Demer";40,625;31,0344827586207;35,1351351351351;30,7692307692308;NA;NA;28,5714285714286;41,304347826087
"Dender";NA;NA;NA;NA;NA;0;100;0
"Dijle";0;40;25;33,3333333333333;12,5;10;0;25
"Leie";NA;NA;NA;NA;NA;NA;0;0
"Maas Antwerpen";0;0;0;0;NA;0;66,6666666666667;0
"Maas Limburg";50;0;9,09090909090909;18,1818181818182;NA;NA;25;66,6666666666667
"Nete";50;0;50;0;33,3333333333333;0;0;25
